,card__title,card__title 2,card__facility-address,text,text 2,text 3
23,"John Vainder, M.D.","Gastroenterologist

in Highland Park, IL",806 Central Ave,"Highland Park,",IL,60035
24,"Harsh Gupta, M.D.","Gastroenterologist

in Evanston, IL",800 Austin Street,"Evanston,",IL,60202
25,"Daksesh Patel, D.O.","Gastroenterologist

in Evanston, IL",800 Austin Street,"Evanston,",IL,60202
26,"Amit Patel, M.D.","Gastroenterologist

in Evanston, IL",800 Austin Street,"Evanston,",IL,60202
27,"Carl Calandra, D.O.","Gastroenterologist

in Hinsdale, IL",12 Salt Creek Ln,"Hinsdale,",IL,60521
28,"Robert M. Lee, M.D.","Gastroenterologist

in Hinsdale, IL",12 Salt Creek Ln,"Hinsdale,",IL,60521
29,"Jolene Manuyag, FNP-C","Family Nurse Practitioner

in Hinsdale, IL",12 Salt Creek Ln,"Hinsdale,",IL,60521
30,"Peter L. Seraphin, D.O.","Gastroenterologist

in Hinsdale, IL",12 Salt Creek Ln,"Hinsdale,",IL,60521
31,"Lawrence Gluskin, M.D.","Gastroenterologist

in Chicago, IL",331 West Surf Street,"Chicago,",IL,60657
32,"W. Reid Glaws, D.O.","Gastroenterologist

in Libertyville, IL",755 S Milwaukee Ave,"Libertyville,",IL,60048
33,"Amit Kalra, M.D.","Gastroenterologist

in Libertyville, IL",755 S Milwaukee Ave,"Libertyville,",IL,60048
34,"Ryma Santiago, FNP-C","Family Nurse Practitioner

in Libertyville, IL",755 S Milwaukee Ave,"Libertyville,",IL,60048
35,"Jennifer Dorfmeister, M.D.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
36,"Gregory Gambla, D.O.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
37,"Sonia Godambe, M.D.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
38,"Sunil Joseph, M.D.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
39,"Justin Kosirog, M.D.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
40,"Hemali Kumar, ANP-C","Advanced Nurse Practitioner

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
41,"William Levis, M.D.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
42,"Brian Liem, D.O.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
43,"Joseph Losurdo, M.D.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
44,"Rajesh Pillai, M.D.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
45,"James Stinneford, M.D.","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
46,"Wei Sun, M.D. PhD","Gastroenterologist

in Elgin, IL",745 Fletcher Dr,"Elgin,",IL,60123
47,"Darran Moxon, M.D.","Gastroenterologist

in St. Charles, IL",2455 Dean Street,"St. Charles,",IL,60175
48,"Yogesh Patel, D.O.","Gastroenterologist

in St. Charles, IL",2455 Dean Street,"St. Charles,",IL,60175
49,"Jeffery Victor, D.O.","Gastroenterologist

in St. Charles, IL",2455 Dean Street,"St. Charles,",IL,60175
50,"Thomas Arndt, M.D.","Gastroenterologist

in Oak Lawn, IL",9921 Southwest Hwy,"Oak Lawn,",IL,60453
51,"Brian Blumenstein, M.D.","Gastroenterologist

in Oak Lawn, IL",9921 Southwest Hwy,"Oak Lawn,",IL,60453
52,"Wayne Lue, M.D.","Gastroenterologist

in Oak Lawn, IL",9921 Southwest Hwy,"Oak Lawn,",IL,60453
53,"Vincent Muscarello, M.D.","Gastroenterologist

in Oak Lawn, IL",9921 Southwest Hwy,"Oak Lawn,",IL,60453
54,"Samir Patel, M.D.","Gastroenterologist

in Oak Lawn, IL",9921 Southwest Hwy,"Oak Lawn,",IL,60453
55,"Lauren Smith, FNP-C","Family Nurse Practitioner

in Oak Lawn, IL",9921 Southwest Hwy,"Oak Lawn,",IL,60453
56,"Rick Chadha, M.D.","Gastroenterologist

in Orland Park, IL",10758 W 167th St,"Orland Park,",IL,60467
57,"William Kosmala, M.D.","Gastroenterologist

in Orland Park, IL",10758 W 167th St,"Orland Park,",IL,60467
58,"Darren Ballard, M.D.","Gastroenterologist

in Homewood, IL",17901 Governors Hwy,"Homewood,",IL,60430
59,"Matthew Horowitz, M.D.","Gastroenterologist

in Homewood, IL",17901 Governors Hwy,"Homewood,",IL,60430
60,"Rahul N. Julka, M.D.","Gastroenterologist

in Homewood, IL",17901 Governors Hwy,"Homewood,",IL,60430
61,"Carl A. Robinson, M.D.","Gastroenterologist

in Homewood, IL",17901 Governors Hwy,"Homewood,",IL,60430
62,"Megan Ann Becker, PA-C","Physician Assistant

in Normal, IL",1302 Franklin Avenue,"Normal,",IL,61761
63,"Robert E. Clark, M.D.","Gastroenterologist

in Normal, IL",1302 Franklin Avenue,"Normal,",IL,61761
64,"Vijay Misra, M.D.","Gastroenterologist

in Normal, IL",1302 Franklin Avenue,"Normal,",IL,61761
65,"Kenneth R. Schoenig, M.D.","Gastroenterologist

in Normal, IL",1302 Franklin Avenue,"Normal,",IL,61761
66,"Amy Stites, PA-C","Physician Assistant

in Normal, IL",1302 Franklin Avenue,"Normal,",IL,61761
67,"Shan Cheng, M.D.","Gastroenterologist

in Mooresville, IN",1215 Hadley Road,"Mooresville,",IN,46158
68,"Paul Haynes, M.D.","Gastroenterologist

in Mooresville, IN",1215 Hadley Road,"Mooresville,",IN,46158
69,"James Jacob, M.D.","Gastroenterologist

in Mooresville, IN",1215 Hadley Road,"Mooresville,",IN,46158
70,"Jason Roberts, M.D.","Gastroenterologist

in Mooresville, IN",1215 Hadley Road,"Mooresville,",IN,46158
71,"Thayer  Nasereddin, M.D.","Gastroenterologist

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
72,"Andrew Crane, M.D.","Gastroenterologist

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
73,"Lucas Drake, M.D.","Gastroenterologist

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
74,"Kaitlyn Geiss, PA-C","Certified Physician Assistant

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
75,"Madison Maloof, PA-C","MSPAS

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
76,"Brandi Mangan, FNP-C","Family Nurse Practitioner

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
77,"Michael Morelli, M.D.","Gastroenterologist

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
78,"Lindsay Mueller, PA-C","Certified Physician Assistant

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
79,"Ernest Orinion, M.D.","Gastroenterologist

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
80,"Sara Reischman, N.P.","Nurse Practitioner 

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
81,"Robert K. Vincent, M.D., Ph.D.","Gastroenterologist

in Indianapolis, IN",8051 S Emerson Ave,"Indianapolis,",IN,46237
82,"Nikhil Banerjee, M.D.","Gastroenterologist

in St. Louis, MO",11525 Olde Cabin Road,"St. Louis,",MO,63141
83,"Benjamin Root, M.D.","Gastroenterologist

in St. Louis, MO",11525 Olde Cabin Road,"St. Louis,",MO,63141
84,"Aman Singh, M.D.","Gastroenterologist

in St. Louis, MO",11525 Olde Cabin Road,"St. Louis,",MO,63141
85,"Erik Thyssen, M.D.","Gastroenterologist

in St. Louis, MO",11525 Olde Cabin Road,"St. Louis,",MO,63141
86,"Leonard Weinstock, M.D.","Gastroenterologist

in St. Louis, MO",11525 Olde Cabin Road,"St. Louis,",MO,63141
87,"Sean Doran, D.O.","Gastroenterologist

in Liberty, MO",2521 Glenn Hendren Drive,"Liberty,",MO,64068
88,"Jonathan Horwitz, D.O.","Gastroenterologist

in Liberty, MO",2521 Glenn Hendren Drive,"Liberty,",MO,64068
89,"Thomas F. Jones, M.D.","Gastroenterologist

in Liberty, MO",2521 Glenn Hendren Drive,"Liberty,",MO,64068
90,"Jana Soule, N.P.","Nurse Practitioner

in Liberty, MO",2521 Glenn Hendren Drive,"Liberty,",MO,64068
91,"Theresa Maxwell, NP","Nurse Practitioner

in St. Joseph, MO",5506 Corporate Drive,"St. Joseph,",MO,64057
92,"Francis McCormick, M.D.","Gastroenterologist

in St. Joseph, MO",5506 Corporate Drive,"St. Joseph,",MO,64057
93,"Scott McGuire, M.D","Gastroenterologist

in St. Joseph, MO",5506 Corporate Drive,"St. Joseph,",MO,64057
94,"Johnna Bodenstab, FNP-BC","Nurse Practitioner

in Independence, MO","3800 South Whitney Avenue,","Independence,",MO,64055
95,"Yan Chen, MD, PhD","Gastroenterologist

in Independence, MO","3800 South Whitney Avenue,","Independence,",MO,64055
96,"Syed Khalid, M.D.","Gastroenterologist

in Independence, MO","3800 South Whitney Avenue,","Independence,",MO,64055
97,"Ryan Utarnachitt, M.D.","Gastroenterologist

in Independence, MO","3800 South Whitney Avenue,","Independence,",MO,64055
98,"Donald J. Clement, M.D.","Gastroenterologist

in Kansas City, MO",5330 North Oak Trafficway,"Kansas City,",MO,64118
99,"Samuel Schowengerdt, M.D.","Gastroenterologist

in Kansas City, MO",5330 North Oak Trafficway,"Kansas City,",MO,64118
100,"Thomas Shireman, M.D.","Gastroenterologist

in Kansas City, MO",5330 North Oak Trafficway,"Kansas City,",MO,64118
101,"Gregory Vardakis, D.O.","Gastroenterologist

in Kansas City, MO",5330 North Oak Trafficway,"Kansas City,",MO,64118
102,"Kelsey Able, D.O.","Gastroenterologist

in Kansas City, MO",5330 North Oak Trafficway,"Kansas City,",MO,64118
103,"Julie Camp, ANP-BC","Nurse Practitioner

in Kansas City, MO",5330 North Oak Trafficway,"Kansas City,",MO,64118
104,"Benjamin Alsop, M.D.","Gastroenterologist

in Lee's Summit, MO",110 NE Saint Luke's Blvd.,"Lee's Summit,",MO,64086
105,"Andrea Gray, APRN","Nurse Practitioner

in Lee's Summit, MO",110 NE Saint Luke's Blvd.,"Lee's Summit,",MO,64086
106,"Todd Kilgore, M.D.","Gastroenterologist

in Lee's Summit, MO",110 NE Saint Luke's Blvd.,"Lee's Summit,",MO,64086
107,"Mary Lynne Lucido, M.D.","Gastroenterologist

in Lee's Summit, MO",110 NE Saint Luke's Blvd.,"Lee's Summit,",MO,64086
108,"Emily McClanahan, APRN","Nurse Practitioner

in Lee's Summit, MO",110 NE Saint Luke's Blvd.,"Lee's Summit,",MO,64086
109,"Wade McCullough, D.O.","Gastroenterologist

in Lee's Summit, MO",110 NE Saint Luke's Blvd.,"Lee's Summit,",MO,64086
110,"Frank Totta, D.O.","Gastroenterologist

in Lee's Summit, MO",110 NE Saint Luke's Blvd.,"Lee's Summit,",MO,64086
111,"Amy Waller, APRN","Nurse Practitioner

in Lee's Summit, MO",110 NE Saint Luke's Blvd.,"Lee's Summit,",MO,64086
112,"Gregory Schnell, M.D.","Gastroenterologist

in Kansas City, MO",1300 NW Briarcliff Parkway,"Kansas City,",MO,64116
113,"Shelby Cochran, APRN","APRN

in Springdale, AR",3901 Parkway Circle,"Springdale,",AR,72762
114,"Jeff Ellison, M.D.","Gastroenterologist

in Springdale, AR",3901 Parkway Circle,"Springdale,",AR,72762
115,"Spencer Hansen, M.D.","Gastroenterologist

in Springdale, AR",3901 Parkway Circle,"Springdale,",AR,72762
116,"Chelsea Marquis, APRN","APRN

in Springdale, AR",3901 Parkway Circle,"Springdale,",AR,72762
117,"John Moore, M.D.","Gastroenterologist

in Springdale, AR",3901 Parkway Circle,"Springdale,",AR,72762
118,"Kevin O'Keefe, M.D.","Gastroenterologist

in Springdale, AR",3901 Parkway Circle,"Springdale,",AR,72762
119,"Chad Paschall, M.D.","Gastroenterologist

in Springdale, AR",3901 Parkway Circle,"Springdale,",AR,72762
120,"Sidney Vinson, M.D.","Gastroenterologist

in Springdale, AR",3901 Parkway Circle,"Springdale,",AR,72762
121,"Cheryl Walsh, ACNP-C","ACNP-C

in Springdale, AR",3901 Parkway Circle,"Springdale,",AR,72762
122,"Christian Clark, M.D.","Gastroenterologist

in Vinita, OK",735 North Foreman Street,"Vinita,",OK,74301
123,"David Backstedt, M.D.","Gastroenterologist

in Conway, AR",455 Hogan Lane,"Conway,",AR,72034
124,"Crystal Brown, FNP","Family Nurse Practitioner

in Conway, AR",455 Hogan Lane,"Conway,",AR,72034
125,"J. Craig Davis, M.D.","Gastroenterologist

in Conway, AR",455 Hogan Lane,"Conway,",AR,72034
126,"Kelly Gibbs, M.D.","Gastroenterologist

in Conway, AR",455 Hogan Lane,"Conway,",AR,72034
127,"Bobby Kakati, M.D.","Gastroenterologist

in Conway, AR",455 Hogan Lane,"Conway,",AR,72034
128,"Jeff Robertson, M.D.","Gastroenterologist

in Conway, AR",455 Hogan Lane,"Conway,",AR,72034
129,"B. Douglas Stokes, M.D.","Gastroenterologist

in Conway, AR",455 Hogan Lane,"Conway,",AR,72034
130,"Scott Wardlaw, M.D.","Gastroenterologist

in Conway, AR",455 Hogan Lane,"Conway,",AR,72034
131,"M. Bruce Johnson, M.D.","Gastroenterologist

in Little Rock, AR",11700 Cantrell Road,"Little Rock,",AR,72223
132,"Tom L. Meziere, M.D.","Gastroenterologist

in Little Rock, AR",11700 Cantrell Road,"Little Rock,",AR,72223
133,"Debra F. Morrison, M.D.","Gastroenterologist

in Little Rock, AR",11700 Cantrell Road,"Little Rock,",AR,72223
134,"Angela K. Nutt, M.D.","Gastroenterologist

in Little Rock, AR",11700 Cantrell Road,"Little Rock,",AR,72223
135,"Jaymie H. Pennington, M.D.","Gastroenterologist

in Little Rock, AR",11700 Cantrell Road,"Little Rock,",AR,72223
136,"Matt Taylor, APRN","Advanced Nurse Practitioner

in Little Rock, AR",11700 Cantrell Road,"Little Rock,",AR,72223
137,"Holly Trotta, N.P.","Nurse Practitioner

in Little Rock, AR",11700 Cantrell Road,"Little Rock,",AR,72223
138,"Kevin McNamara, M.D.","Gastroenterologist

in Bartlesville, OK",4150 SE Adams Road,"Bartlesville,",OK,74006
139,"Aatish Patel, M.D.","Gastroenterologist

in Bartlesville, OK",4150 SE Adams Road,"Bartlesville,",OK,74006
140,"Amanda Allen, FNP","Family Nurse Practitioner

in Bryant, AR","2305 Springhill Road, Ste 6","Bryant,",AR,72019
141,"Matt Blankenship, M.D.","Gastroenterologist

in Tulsa, OK",4200 E. Skelly Drive,"Tulsa,",OK,74135
142,"Jeffery Blonsky, M.D.","Gastroenterologist

in Tulsa, OK",4200 E. Skelly Drive,"Tulsa,",OK,74135
143,"Brandon Conkling, D.O.","Gastroenterologist

in Tulsa, OK",4200 E. Skelly Drive,"Tulsa,",OK,74135
144,"Douglas Kliewer, M.D.","Gastroenterologist

in Tulsa, OK",4200 E. Skelly Drive,"Tulsa,",OK,74135
145,"Markham Nightengale, M.D.","Gastroenterologist

in Tulsa, OK",4200 E. Skelly Drive,"Tulsa,",OK,74135
146,"Dushyant Singh, M.D.","Gastroenterologist

in Tulsa, OK",4200 E. Skelly Drive,"Tulsa,",OK,74135
147,"Patrick Volak, M.D.","Gastroenterologist

in Tulsa, OK",4200 E. Skelly Drive,"Tulsa,",OK,74135
148,"Stewart Alexander Boyd, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
149,"Donald P. Brannan, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
150,"Pierce D. Dotherow, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
151,"Lee Ellison Jr., M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
152,"Charles E. Hall, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
153,"Reed Hogan, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
154,"Reed Hogan III, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
155,"Ollie Demarre Jones Jr., M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
156,"Ronald P. Kotfila, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
157,"Makau P. Lee, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
158,"Mary Allyson Lowry, M.D.","Pediatric Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
159,"Jeffrey B. McCrary, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
160,"Paul B. Milner, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
161,"Jan Petrasek, M.D., Ph.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
162,"Michelle Ann Petro, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
163,"Vonda G. Reeves, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
164,"Sara Waller Rippel, M.D.","Pediatric Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
165,"John Matthew Runnels, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
166,"James A. Underwood Jr., M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
167,"R. Brooks Vance Jr., M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
168,"E. Stephens Weeks Jr., M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
169,"Jane-Claire Williams, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
170,"Mark E. Wilson, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
171,"Cindy Wright, M.D.","Gastroenterologist

in Madison, MS",106 Highland Way,"Madison,",MS,39110
172,"Shuja Yousuf, M.D.","Gastroenterologist

in Flowood, MS",2510 Lakeland Drive,"Flowood,",MS,39232
173,"Albert F. Chiemprabha, M.D.","Gastroenterologist

in Vicksburg, MS",1815 Mission 66,"Vicksburg,",MS,39180
174,"Seth Brown, D.O.","Gastroenterologist

in Hattiesburg, MS",100 Methodist Hospital Blvd,"Hattiesburg,",MS,39402
175,"Stephen E. Buckley, M.D.","Gastroenterologist

in Hattiesburg, MS",100 Methodist Hospital Blvd,"Hattiesburg,",MS,39402
176,"William Farmer, D.O.","Gastroenterologist

in Hattiesburg, MS",100 Methodist Hospital Blvd,"Hattiesburg,",MS,39402
177,"H. Creed Fox, M.D.","Gastroenterologist

in Hattiesburg, MS",100 Methodist Hospital Blvd,"Hattiesburg,",MS,39402
178,"Troy Morrissette, M.D.","Gastroenterologist

in Hattiesburg, MS",100 Methodist Hospital Blvd,"Hattiesburg,",MS,39402
179,"Erin Roberts, FNP-C","FNP-C

in Hattiesburg, MS",100 Methodist Hospital Blvd,"Hattiesburg,",MS,39402
180,"Patrick Sanchez, M.D.","Gastroenterologist

in Hattiesburg, MS",100 Methodist Hospital Blvd,"Hattiesburg,",MS,39402
181,"Susan Wallace, FNP-C","FNP-C

in Hattiesburg, MS",100 Methodist Hospital Blvd,"Hattiesburg,",MS,39402
182,"Andrew Antony, M.D.","Gastroenterologist

in Greenwich, CT",15 Valley Drive,"Greenwich,",CT,6831
183,"Neda Khaghan, M.D.","Gastroenterologist

in Greenwich, CT",15 Valley Drive,"Greenwich,",CT,6831
184,"Scott Kramer, M.D.","Gastroenterologist

in Greenwich, CT",15 Valley Drive,"Greenwich,",CT,6831
185,"Amanda Peyser, APRN","Advanced Practice RN

in Greenwich, CT",15 Valley Drive,"Greenwich,",CT,6831
186,"Neal Schamberg, M.D.","Gastroenterologist

in Greenwich, CT",15 Valley Drive,"Greenwich,",CT,6831
187,"Alan Selkin, M.D.","Gastroenterologist

in Greenwich, CT",15 Valley Drive,"Greenwich,",CT,6831
188,"Felice Zwas, M.D.","Gastroenterologist

in Greenwich, CT",15 Valley Drive,"Greenwich,",CT,6831
189,"William Coll, M.D.","Gastroenterologist

in Sharon, CT",29 Hospital Hill Road,"Sharon,",CT,6069
190,"Michael DiSiena, M.D.","Gastroenterologist

in Sharon, CT",29 Hospital Hill Road,"Sharon,",CT,6069
191,"Joseph Scirica, M.D.","Gastroenterologist

in Sharon, CT",29 Hospital Hill Road,"Sharon,",CT,6069
192,"Suzanne Thompson, APRN","Advanced Practice RN

in Sharon, CT",29 Hospital Hill Road,"Sharon,",CT,6069
193,"John Fletcher, M.D.","Gastroenterologist

in Sherman, TX",1615 North US Highway 75,"Sherman,",TX,75090
194,"Desiree D. Frye, N.P.","Nurse Practitioner

in Sherman, TX",1615 North US Highway 75,"Sherman,",TX,75090
195,"Ryan Kahl, D.O.","Gastroenterologist

in Sherman, TX",1615 North US Highway 75,"Sherman,",TX,75090
196,"Brent Keith, M.D.","Pediatric Gastroenterologist

in Sherman, TX",1615 N US Hwy 75,"Sherman,",TX,75090
197,"Kruti Patel, D.O.","Gastroenterologist

in Sherman, TX",1615 North US Highway 75,"Sherman,",TX,75090
198,"Nathan Smallwood, M.D.","Colorectal Surgeon

in Sherman, TX",1615 North US Highway 75,"Sherman,",TX,75090
199,"Glenn Young, M.D.","Gastroenterologist

in Sherman, TX",1615 North US Highway 75,"Sherman,",TX,75090
200,"Priyanka Chugh, M.D.","Gastroenterologist

in Stamford, CT",778 Long Ridge Road,"Stamford,",CT,6902
201,"Jordan Goldstein, M.D.","Gastroenterologist

in Stamford, CT",778 Long Ridge Road,"Stamford,",CT,6902
202,"Amy Miklos, PA","Physician Assistant

in Stamford, CT",778 Long Ridge Road,"Stamford,",CT,6902
203,"Stuart Waldstreicher, M.D.","Gastroenterologist

in Stamford, CT",778 Long Ridge Road,"Stamford,",CT,6902
204,"Henry Beecher, M.D.","Gastroenterologist

in Stamford, CT",32 Strawberry Hill Court,"Stamford,",CT,6902
205,"Robert Dettmer, M.D.","Gastroenterologist

in Stamford, CT",32 Strawberry Hill Court,"Stamford,",CT,6902
206,"Michael Tawiah, APRN","Advanced Practice Nurse

in Stamford, CT",32 Strawberry Hill Court,"Stamford,",CT,6902
207,"Tarun Gupta, M.D.","Gastroenterologist

in Trumbull, CT",115 Technology Drive,"Trumbull,",CT,6611
208,"Daniel Stupak, M.D.","Gastroenterologist

in Trumbull, CT",115 Technology Drive,"Trumbull,",CT,6611
209,"Emil Blanco, M.D.","Gastroenterologist

in Fairfield, CT",425 Post Road,"Fairfield,",CT,6824
210,"Brian Clancy, PA","Physician Assistant

in Fairfield, CT",425 Post Road,"Fairfield,",CT,6824
211,"Gena Cobrin, M.D.","Gastroenterologist

in Fairfield, CT",425 Post Road,"Fairfield,",CT,6824
212,"Amir Masoud, M.D.","Gastroenterologist

in Fairfield, CT",425 Post Road,"Fairfield,",CT,6824
213,"Kenneth Mauer, M.D.","Gastroenterologist

in Fairfield, CT",425 Post Road,"Fairfield,",CT,6824
214,"Mayra Sanchez, M.D.","Gastroenterologist

in Fairfield, CT",425 Post Road,"Fairfield,",CT,6824
215,"Julie Spivack, M.D.","Gastroenterologist

in Fairfield, CT",425 Post Road,"Fairfield,",CT,6824
216,"Mohammad Alshelleh, M.D.","Gastroenterologist

in Torrington, CT",245 Alvord Park Road,"Torrington,",CT,6790
217,"Chioma Anjou, M.D.","Gastroenterologist

in Torrington, CT",245 Alvord Park Road,"Torrington,",CT,6790
218,"Jessica Goralski, APRN","Advanced Practice RN

in Torrington, CT",245 Alvord Park Road,"Torrington,",CT,6790
219,"Angela Murno, APRN","Advanced Practice RN

in Torrington, CT",245 Alvord Park Road,"Torrington,",CT,6790
220,"Lynn Rapsilber, APRN","Advanced Practice RN

in Torrington, CT",245 Alvord Park Road,"Torrington,",CT,6790
221,"Michelle Tong, M.D.","Gastroenterologist

in Torrington, CT",245 Alvord Park Road,"Torrington,",CT,6790
222,"Eddy Castillo, M.D.","Gastroenterologist

in Bridgeport, CT",2660 Main Street,"Bridgeport,",CT,6606
223,"Nicholas Lillo, M.D.","Gastroenterologist

in Bridgeport, CT",2660 Main Street,"Bridgeport,",CT,6606
224,"Alan M. Nelson, M.D.","Gastroenterologist

in Bridgeport, CT",2660 Main Street,"Bridgeport,",CT,6606
225,"Prabin Sharma, M.D.","Gastroenterologist

in Bridgeport, CT",2660 Main Street,"Bridgeport,",CT,6606
226,"Daniel Stewart, PA","Physician Assistant

in Bridgeport, CT",2660 Main Street,"Bridgeport,",CT,6606
