name,distance,moving_time,elapsed_time,gear_id,total_elevation_gain,type,sport_type,average_speed,max_speed,summary_polyline,start_date,timezone,elev_high,elev_low,average_heartrate,max_heartrate,average_cadence,moving_hours,moving_mins,elapsed_hours,elapsed_mins,total_moving_time,total_elapsed_time,average_pace
Morning Run,6.0108945056000005,56.833333333333336,56.96666666666667,g13553566,70.0,Run,Run,6.3,10.3,0,2024-01-13T15:25:20Z,(GMT-05:00) America/New_York,43.0,6.0,166.6,179.0,85.4,0.0,56.833333333333336,0.0,56.96666666666667,56.833333333333336,56.96666666666667,9:29
Afternoon Run,4.0044254095000005,39.85,58.166666666666664,g13532642,71.0,Run,Run,6.0,8.5,0,2024-01-11T22:41:43Z,(GMT-05:00) America/New_York,73.0,28.0,159.1,174.0,85.0,0.0,39.85,0.0,58.166666666666664,39.85,58.166666666666664,14:32
Spin,11.9000002952,50.0,50.0,0,0.0,VirtualRide,VirtualRide,14.3,0.0,0,2024-01-11T00:57:51Z,(GMT-05:00) America/New_York,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,50.0,50.0,50.0,4:12
Afternoon Run,3.0087405191000003,30.7,30.75,g13553566,63.0,Run,Run,5.9,8.3,0,2024-01-09T22:15:07Z,(GMT-05:00) America/New_York,47.0,9.0,155.2,173.0,82.4,0.0,30.7,0.0,30.75,30.7,30.75,10:13
Morning Run,6.0079740619,60.983333333333334,61.21666666666667,g13553566,92.0,Run,Run,5.9,9.2,0,2024-01-06T15:27:47Z,(GMT-05:00) America/New_York,54.0,22.0,157.5,175.0,84.3,1.0,0.9833333333333343,1.0,1.2166666666666686,60.983333333333334,61.21666666666667,10:11
Afternoon Run,3.5620713946,38.1,38.1,g13553566,47.0,Run,Run,5.6,7.8,0,2024-01-04T22:34:40Z,(GMT-05:00) America/New_York,54.0,29.0,151.0,170.0,83.4,0.0,38.1,0.0,38.1,38.1,38.1,10:42
Afternoon Run,3.5047188513000003,37.85,37.86666666666667,g13553566,62.0,Run,Run,5.6,8.7,0,2024-01-02T22:06:08Z,(GMT-05:00) America/New_York,49.0,22.0,157.5,173.0,83.2,0.0,37.85,0.0,37.86666666666667,37.85,37.86666666666667,10:48
Morning Trail Run,6.110376002700001,68.8,69.16666666666667,g14818970,216.0,Run,TrailRun,5.3,9.8,0,2023-12-17T15:50:52Z,(GMT-05:00) America/New_York,145.0,100.0,150.4,169.0,82.0,1.0,8.799999999999997,1.0,9.166666666666671,68.8,69.16666666666667,11:19
Morning Run,9.008326072500001,83.35,83.35,g13553566,102.0,Run,Run,6.5,10.3,0,2023-12-16T15:03:46Z,(GMT-05:00) America/New_York,44.0,4.0,164.6,177.0,85.6,1.0,23.349999999999994,1.0,23.349999999999994,83.35,83.35,9:15
Lunch Workout,0.0,45.06666666666667,45.06666666666667,0,0.0,Elliptical,Elliptical,0.0,0.0,0,2023-12-15T16:04:13Z,(GMT-05:00) America/Atikokan,0.0,0.0,140.8,153.0,0.0,0.0,45.06666666666667,0.0,45.06666666666667,45.06666666666667,45.06666666666667,0:00
Afternoon Run,4.0069730306,40.96666666666667,41.233333333333334,g11830835,66.0,Run,Run,5.9,8.1,0,2023-12-14T18:28:46Z,(GMT-05:00) America/New_York,44.0,8.0,152.4,172.0,85.2,0.0,40.96666666666667,0.0,41.233333333333334,40.96666666666667,41.233333333333334,10:17
Afternoon Run,6.0053021666,57.56666666666667,57.56666666666667,g13553566,72.0,Run,Run,6.3,9.8,0,2023-12-13T21:58:42Z,(GMT-05:00) America/New_York,53.0,19.0,158.9,176.0,85.8,0.0,57.56666666666667,0.0,57.56666666666667,57.56666666666667,57.56666666666667,9:35
Evening Weight Training,0.0,30.816666666666666,30.816666666666666,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-12-12T23:52:43Z,(GMT-05:00) America/Atikokan,0.0,0.0,102.0,125.0,0.0,0.0,30.816666666666666,0.0,30.816666666666666,30.816666666666666,30.816666666666666,0:00
Afternoon Run,5.0063240099,51.516666666666666,51.516666666666666,g13532642,78.0,Run,Run,5.8,8.9,0,2023-12-12T22:17:33Z,(GMT-05:00) America/New_York,55.0,21.0,153.4,176.0,84.5,0.0,51.516666666666666,0.0,51.516666666666666,51.516666666666666,51.516666666666666,10:17
Afternoon Workout,0.0,20.016666666666666,20.016666666666666,0,0.0,Workout,Workout,0.0,0.0,0,2023-12-10T22:33:12Z,(GMT-05:00) America/Atikokan,0.0,0.0,84.7,102.0,0.0,0.0,20.016666666666666,0.0,20.016666666666666,20.016666666666666,20.016666666666666,0:00
Afternoon Run,0.0,0.08333333333333333,0.08333333333333333,g13553566,0.0,Run,Run,0.0,0.0,0,2023-12-10T22:31:52Z,(GMT-05:00) America/Atikokan,0.0,0.0,85.0,85.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0:00
Afternoon Weight Training,0.0,45.15,45.15,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-12-10T21:42:30Z,(GMT-05:00) America/Atikokan,0.0,0.0,126.6,179.0,0.0,0.0,45.15,0.0,45.15,45.15,45.15,0:00
Morning Trail Run,5.006386147,55.65,55.88333333333333,g14818970,103.0,Run,TrailRun,5.4,9.6,0,2023-12-10T15:20:09Z,(GMT-05:00) America/New_York,108.0,53.0,157.3,175.0,84.3,0.0,55.65,0.0,55.88333333333333,55.65,55.88333333333333,11:10
Morning Run,9.0098795,85.56666666666666,86.6,g13553566,147.0,Run,Run,6.3,9.4,0,2023-12-09T15:55:07Z,(GMT-05:00) America/New_York,43.0,-1.0,163.8,181.0,85.8,1.0,25.566666666666663,1.0,26.599999999999994,85.56666666666666,86.6,9:37
Morning Weight Training,0.0,22.95,22.95,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-12-08T13:15:53Z,(GMT-05:00) America/Atikokan,0.0,0.0,100.3,127.0,0.0,0.0,22.95,0.0,22.95,22.95,22.95,0:00
Morning Ride,6.6999949446,30.0,30.0,0,0.0,VirtualRide,VirtualRide,13.4,0.0,0,2023-12-08T12:39:53Z,(GMT-05:00) America/New_York,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,30.0,30.0,4:29
Afternoon Run,4.0046739579,42.233333333333334,42.233333333333334,g14818971,60.0,Run,Run,5.7,7.6,0,2023-12-07T22:39:57Z,(GMT-05:00) America/New_York,46.0,15.0,154.8,173.0,84.3,0.0,42.233333333333334,0.0,42.233333333333334,42.233333333333334,42.233333333333334,10:33
Evening Weight Training,0.0,22.483333333333334,22.483333333333334,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-12-06T23:29:35Z,(GMT-05:00) America/Atikokan,0.0,0.0,94.6,120.0,0.0,0.0,22.483333333333334,0.0,22.483333333333334,22.483333333333334,22.483333333333334,0:00
Afternoon Run,5.015893123300001,50.333333333333336,50.333333333333336,g13553566,94.0,Run,Run,6.0,10.5,0,2023-12-06T22:19:47Z,(GMT-05:00) America/New_York,49.0,18.0,155.5,175.0,84.8,0.0,50.333333333333336,0.0,50.333333333333336,50.333333333333336,50.333333333333336,10:02
Afternoon Run,4.007221579,41.21666666666667,41.21666666666667,g14818971,63.0,Run,Run,5.8,8.7,0,2023-12-05T22:40:02Z,(GMT-05:00) America/New_York,59.0,31.0,159.2,178.0,84.8,0.0,41.21666666666667,0.0,41.21666666666667,41.21666666666667,41.21666666666667,10:17
Afternoon Weight Training,0.0,25.05,25.05,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-12-03T22:39:24Z,(GMT-05:00) America/Atikokan,0.0,0.0,118.8,151.0,0.0,0.0,25.05,0.0,25.05,25.05,25.05,0:00
Morning Trail Run,5.036833326,58.6,59.1,g14818970,157.0,Run,TrailRun,5.2,10.1,0,2023-12-03T15:41:14Z,(GMT-05:00) America/New_York,127.0,58.0,161.3,175.0,83.3,0.0,58.6,0.0,59.1,58.6,59.1,11:44
Afternoon Run,8.006738157600001,72.98333333333333,72.98333333333333,g13553566,75.0,Run,Run,6.6,10.1,0,2023-12-02T18:44:22Z,(GMT-05:00) America/New_York,30.0,6.0,168.0,181.0,85.7,1.0,12.983333333333334,1.0,12.983333333333334,72.98333333333333,72.98333333333333,9:07
Evening Weight Training,0.0,25.016666666666666,25.016666666666666,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-11-30T23:09:16Z,(GMT-05:00) America/Atikokan,0.0,0.0,101.6,124.0,0.0,0.0,25.016666666666666,0.0,25.016666666666666,25.016666666666666,25.016666666666666,0:00
Afternoon Run,3.005571527,31.466666666666665,31.633333333333333,g13532642,43.0,Run,Run,5.7,8.1,0,2023-11-30T22:21:44Z,(GMT-05:00) America/New_York,31.0,5.0,155.5,173.0,85.1,0.0,31.466666666666665,0.0,31.633333333333333,31.466666666666665,31.633333333333333,10:31
Afternoon Run,5.0122891715,51.13333333333333,51.2,g13553566,97.0,Run,Run,5.9,9.4,0,2023-11-29T22:43:18Z,(GMT-05:00) America/New_York,35.0,8.0,157.0,179.0,84.8,0.0,51.13333333333333,0.0,51.2,51.13333333333333,51.2,10:13
Evening Weight Training,0.0,20.0,20.0,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-11-28T23:00:00Z,(GMT-05:00) America/New_York,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0:00
Afternoon Run,4.009085692,41.55,41.65,g14818971,52.0,Run,Run,5.8,7.6,0,2023-11-28T22:13:23Z,(GMT-05:00) America/New_York,46.0,6.0,152.8,170.0,84.2,0.0,41.55,0.0,41.65,41.55,41.65,10:23
Lunch Trail Run,5.011357115,52.86666666666667,56.15,g14818970,74.0,Run,TrailRun,5.7,9.4,0,2023-11-26T16:17:13Z,(GMT-05:00) America/New_York,69.0,44.0,0.0,0.0,85.4,0.0,52.86666666666667,0.0,56.15,52.86666666666667,56.15,11:12
Morning Run,8.0127654563,75.68333333333334,76.48333333333333,g13553566,128.0,Run,Run,6.4,9.2,0,2023-11-25T15:25:23Z,(GMT-05:00) America/New_York,41.0,-2.0,0.0,0.0,85.3,1.0,15.683333333333337,1.0,16.483333333333334,75.68333333333334,76.48333333333333,9:33
Morning Run,6.0120129734,58.2,58.2,g13532642,51.0,Run,Run,6.2,8.7,0,2023-11-23T14:19:11Z,(GMT-05:00) America/New_York,26.0,-4.0,0.0,0.0,85.6,0.0,58.2,0.0,58.2,58.2,58.2,9:41
Afternoon Run,5.0198698977,51.61666666666667,51.61666666666667,g13553566,76.0,Run,Run,5.8,9.8,0,2023-11-22T22:32:56Z,(GMT-05:00) America/New_York,44.0,15.0,0.0,0.0,83.2,0.0,51.61666666666667,0.0,51.61666666666667,51.61666666666667,51.61666666666667,10:17
Morning Run,4.0064759338,39.95,39.95,g13553566,63.0,Run,Run,6.0,9.8,0,2023-11-19T14:35:55Z,(GMT-05:00) America/New_York,50.0,26.0,0.0,0.0,85.7,0.0,39.95,0.0,39.95,39.95,39.95,9:58
Lunch Run,7.010804718799999,66.7,66.7,g13553566,100.0,Run,Run,6.3,8.9,0,2023-11-18T16:11:34Z,(GMT-05:00) America/New_York,48.0,15.0,0.0,0.0,84.8,1.0,6.700000000000003,1.0,6.700000000000003,66.7,66.7,9:31
Afternoon Run,3.006192898,32.11666666666667,32.25,g13553566,42.0,Run,Run,5.6,8.1,0,2023-11-16T21:45:55Z,(GMT-05:00) America/New_York,43.0,18.0,0.0,0.0,82.4,0.0,32.11666666666667,0.0,32.25,32.11666666666667,32.25,10:44
Evening Weight Training,0.0,27.533333333333335,27.533333333333335,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-11-15T23:25:16Z,(GMT-05:00) America/Atikokan,0.0,0.0,0.0,0.0,0.0,0.0,27.533333333333335,0.0,27.533333333333335,27.533333333333335,27.533333333333335,0:00
Afternoon Run,5.0122270343999995,47.766666666666666,48.266666666666666,g13553566,83.0,Run,Run,6.3,10.5,0,2023-11-15T22:12:47Z,(GMT-05:00) America/New_York,46.0,18.0,0.0,0.0,84.1,0.0,47.766666666666666,0.0,48.266666666666666,47.766666666666666,48.266666666666666,9:38
Afternoon Run,4.0074079903,41.016666666666666,41.016666666666666,g13532642,54.0,Run,Run,5.9,8.7,0,2023-11-14T22:37:44Z,(GMT-05:00) America/New_York,34.0,11.0,0.0,0.0,84.5,0.0,41.016666666666666,0.0,41.016666666666666,41.016666666666666,41.016666666666666,10:14
Afternoon Weight Training,0.0,34.833333333333336,34.833333333333336,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-11-12T22:50:22Z,(GMT-05:00) America/Atikokan,0.0,0.0,0.0,0.0,0.0,0.0,34.833333333333336,0.0,34.833333333333336,34.833333333333336,34.833333333333336,0:00
Morning Run,4.0079672242,40.266666666666666,40.266666666666666,g14818971,11.0,Run,Run,6.0,9.6,0,2023-11-12T15:28:02Z,(GMT-05:00) America/New_York,9.0,0.0,0.0,0.0,85.2,0.0,40.266666666666666,0.0,40.266666666666666,40.266666666666666,40.266666666666666,10:03
Lunch Weight Training,0.0,24.15,24.15,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-11-11T16:45:14Z,(GMT-05:00) America/Atikokan,0.0,0.0,0.0,0.0,0.0,0.0,24.15,0.0,24.15,24.15,24.15,0:00
Morning Run,6.0138770864,59.15,59.31666666666667,g13553566,76.0,Run,Run,6.1,8.7,0,2023-11-11T15:20:01Z,(GMT-05:00) America/New_York,56.0,21.0,0.0,0.0,84.3,0.0,59.15,0.0,59.31666666666667,59.15,59.31666666666667,9:52
Morning Run,3.0101075353,30.1,30.1,g13532642,38.0,Run,Run,6.0,10.7,0,2023-11-10T12:49:38Z,(GMT-05:00) America/New_York,67.0,42.0,0.0,0.0,85.2,0.0,30.1,0.0,30.1,30.1,30.1,9:60
Afternoon Run,4.0043632724,40.233333333333334,41.083333333333336,g13553566,74.0,Run,Run,6.0,9.4,0,2023-11-08T21:56:21Z,(GMT-05:00) America/New_York,43.0,18.0,0.0,0.0,83.8,0.0,40.233333333333334,0.0,41.083333333333336,40.233333333333334,41.083333333333336,10:16
Evening Weight Training,0.0,37.983333333333334,37.983333333333334,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-11-07T23:36:53Z,(GMT-05:00) America/Atikokan,0.0,0.0,0.0,0.0,0.0,0.0,37.983333333333334,0.0,37.983333333333334,37.983333333333334,37.983333333333334,0:00
Morning Run,3.0055093899,30.366666666666667,30.366666666666667,g14818971,43.0,Run,Run,5.9,8.3,0,2023-11-07T11:55:55Z,(GMT-05:00) America/New_York,44.0,16.0,0.0,0.0,84.2,0.0,30.366666666666667,0.0,30.366666666666667,30.366666666666667,30.366666666666667,10:06
Afternoon Weight Training,0.0,25.066666666666666,25.066666666666666,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-11-05T21:06:53Z,(GMT-05:00) America/Atikokan,0.0,0.0,0.0,0.0,0.0,0.0,25.066666666666666,0.0,25.066666666666666,25.066666666666666,25.066666666666666,0:00
Afternoon Run,6.0048050698,59.21666666666667,59.28333333333333,g13553566,73.0,Run,Run,6.1,10.1,0,2023-11-05T19:29:54Z,(GMT-05:00) America/New_York,44.0,18.0,0.0,0.0,82.9,0.0,59.21666666666667,0.0,59.28333333333333,59.21666666666667,59.28333333333333,9:52
Morning Hike,11.003361942200002,244.16666666666666,267.25,g15358748,756.0,Hike,Hike,2.7,8.9,0,2023-11-04T11:24:40Z,(GMT-05:00) America/New_York,469.0,82.0,0.0,0.0,0.0,4.0,4.166666666666657,4.0,27.25,244.16666666666666,267.25,24:17
Evening Weight Training,0.0,13.633333333333333,13.633333333333333,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-11-02T22:35:46Z,(GMT-04:00) America/Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,13.633333333333333,0.0,13.633333333333333,13.633333333333333,13.633333333333333,0:00
Afternoon Run,3.0071249545,30.833333333333332,31.05,g14818971,45.0,Run,Run,5.9,8.1,0,2023-11-02T21:50:59Z,(GMT-05:00) America/New_York,44.0,19.0,0.0,0.0,84.0,0.0,30.833333333333332,0.0,31.05,30.833333333333332,31.05,10:20
Afternoon Run,4.006786619300001,41.333333333333336,41.333333333333336,g13532642,66.0,Run,Run,5.8,8.9,0,2023-11-01T21:02:26Z,(GMT-05:00) America/New_York,50.0,23.0,0.0,0.0,83.8,0.0,41.333333333333336,0.0,41.333333333333336,41.333333333333336,41.333333333333336,10:19
Evening Weight Training,0.0,28.916666666666668,28.916666666666668,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-10-31T22:18:28Z,(GMT-04:00) America/Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,28.916666666666668,0.0,28.916666666666668,28.916666666666668,28.916666666666668,0:00
Afternoon Run,3.0057579383000004,30.183333333333334,30.183333333333334,g13553566,40.0,Run,Run,6.0,8.7,0,2023-10-31T21:19:26Z,(GMT-05:00) America/New_York,53.0,26.0,0.0,0.0,83.3,0.0,30.183333333333334,0.0,30.183333333333334,30.183333333333334,30.183333333333334,10:03
Evening Weight Training,0.0,25.366666666666667,25.366666666666667,0,0.0,WeightTraining,WeightTraining,0.0,0.0,0,2023-10-29T22:05:40Z,(GMT-04:00) America/Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,25.366666666666667,0.0,25.366666666666667,25.366666666666667,25.366666666666667,0:00
Morning Run,5.0096794133,48.81666666666667,48.81666666666667,g13532642,75.0,Run,Run,6.2,11.2,0,2023-10-29T14:50:03Z,(GMT-05:00) America/New_York,41.0,-1.0,0.0,0.0,84.0,0.0,48.81666666666667,0.0,48.81666666666667,48.81666666666667,48.81666666666667,9:45
Lunch Run,3.0045151963000003,31.6,32.45,g13553566,43.0,Run,Run,5.7,11.0,0,2023-10-28T15:02:18Z,(GMT-05:00) America/New_York,65.0,42.0,0.0,0.0,79.8,0.0,31.6,0.0,32.45,31.6,32.45,10:48
Afternoon Run,3.0084919706999997,29.95,29.95,g13553566,42.0,Run,Run,6.0,8.7,0,2023-10-25T21:13:21Z,(GMT-05:00) America/New_York,39.0,12.0,0.0,0.0,82.2,0.0,29.95,0.0,29.95,29.95,29.95,9:57
Afternoon Workout,0.0,20.0,20.0,0,0.0,Workout,Workout,0.0,0.0,0,2023-10-24T21:20:00Z,(GMT-05:00) America/New_York,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,20.0,20.0,20.0,0:00
Afternoon Run,3.0090512046000004,31.016666666666666,31.15,g15247915,41.0,Run,Run,5.8,8.7,0,2023-10-24T21:12:57Z,(GMT-05:00) America/New_York,37.0,11.0,0.0,0.0,82.4,0.0,31.016666666666666,0.0,31.15,31.016666666666666,31.15,10:21
Afternoon Run,3.0089890675,30.05,30.05,g15247920,58.0,Run,Run,6.0,9.6,0,2023-10-22T18:06:22Z,(GMT-05:00) America/New_York,33.0,7.0,0.0,0.0,84.7,0.0,30.05,0.0,30.05,30.05,30.05,9:59
Lunch Workout,0.0,30.05,30.05,0,0.0,Workout,Workout,0.0,0.0,0,2023-10-21T15:35:19Z,(GMT-04:00) America/Anguilla,0.0,0.0,0.0,0.0,0.0,0.0,30.05,0.0,30.05,30.05,30.05,0:00
Lunch Run,1.0051918667,10.333333333333334,10.333333333333334,g13553566,15.0,Run,Run,5.8,8.1,0,2023-10-21T15:03:38Z,(GMT-05:00) America/New_York,56.0,33.0,0.0,0.0,83.8,0.0,10.333333333333334,0.0,10.333333333333334,10.333333333333334,10.333333333333334,10:17
Morning Run,26.4564237525,267.3333333333333,267.8666666666667,g13553566,191.0,Run,Run,5.9,10.1,0,2023-10-08T12:01:18Z,(GMT-05:00) America/New_York,515.0,212.0,0.0,0.0,84.1,4.0,27.333333333333314,4.0,27.866666666666674,267.3333333333333,267.8666666666667,10:07
Afternoon Run,1.4298989452,15.0,15.066666666666666,g13553566,9.0,Run,Run,5.7,8.7,0,2023-10-06T21:46:09Z,(GMT-05:00) America/New_York,30.0,16.0,0.0,0.0,81.9,0.0,15.0,0.0,15.066666666666666,15.0,15.066666666666666,10:32
Night Trail Run,58.803071762399995,905.3666666666667,1030.3333333333333,g14818970,3696.0,Run,TrailRun,3.4,10.5,0,2023-10-01T04:00:04Z,(GMT-05:00) America/New_York,668.0,215.0,0.0,0.0,67.9,15.0,5.366666666666674,17.0,10.333333333333258,905.3666666666667,1030.3333333333333,17:31
Afternoon Run,2.0051020799,20.966666666666665,20.966666666666665,g13553566,20.0,Run,Run,5.7,8.3,0,2023-09-28T21:51:02Z,(GMT-05:00) America/New_York,50.0,34.0,0.0,0.0,82.9,0.0,20.966666666666665,0.0,20.966666666666665,20.966666666666665,20.966666666666665,10:27
Afternoon Run,4.0062895225,41.03333333333333,41.03333333333333,g13553566,60.0,Run,Run,5.9,8.5,0,2023-09-24T18:00:59Z,(GMT-05:00) America/New_York,45.0,17.0,0.0,0.0,81.7,0.0,41.03333333333333,0.0,41.03333333333333,41.03333333333333,41.03333333333333,10:15
Afternoon Run,6.0216442239,60.38333333333333,60.38333333333333,g13553566,87.0,Run,Run,6.0,9.6,0,2023-09-23T21:05:05Z,(GMT-05:00) America/New_York,59.0,31.0,0.0,0.0,82.1,1.0,0.38333333333333286,1.0,0.38333333333333286,60.38333333333333,60.38333333333333,10:02
Afternoon Run,4.0054817402,42.65,42.71666666666667,g13553566,46.0,Run,Run,5.6,8.1,0,2023-09-21T21:18:23Z,(GMT-05:00) America/New_York,53.0,27.0,0.0,0.0,80.6,0.0,42.65,0.0,42.71666666666667,42.65,42.71666666666667,10:40
Afternoon Run,5.0736806263,49.483333333333334,49.53333333333333,g13553566,65.0,Run,Run,6.2,10.1,0,2023-09-19T21:21:10Z,(GMT-05:00) America/New_York,50.0,24.0,0.0,0.0,81.9,0.0,49.483333333333334,0.0,49.53333333333333,49.483333333333334,49.53333333333333,9:46
Afternoon Run,1.1000130813,15.0,15.0,g14818970,0.0,Run,Run,4.4,0.0,0,2023-09-16T17:00:00Z,(GMT-05:00) America/New_York,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,15.0,15.0,15.0,13:38
Morning Trail Run,8.8769682431,118.5,125.81666666666666,g14818970,525.0,Run,TrailRun,4.5,10.1,0,2023-09-16T14:51:12Z,(GMT-05:00) America/New_York,173.0,104.0,0.0,0.0,71.9,1.0,58.5,2.0,5.816666666666663,118.5,125.81666666666666,14:10
Afternoon Run,3.0089890675,32.71666666666667,32.95,g13553566,48.0,Run,Run,5.5,8.1,0,2023-09-14T21:34:31Z,(GMT-05:00) America/New_York,57.0,31.0,0.0,0.0,78.7,0.0,32.71666666666667,0.0,32.95,32.71666666666667,32.95,10:57
Afternoon Run,5.005205542100001,49.38333333333333,49.38333333333333,g13553566,64.0,Run,Run,6.1,9.8,0,2023-09-12T21:10:06Z,(GMT-05:00) America/New_York,42.0,18.0,0.0,0.0,81.8,0.0,49.38333333333333,0.0,49.38333333333333,49.38333333333333,49.38333333333333,9:52
Morning Run,5.009555139100001,52.983333333333334,53.03333333333333,g11830835,62.0,Run,Run,5.7,8.3,0,2023-09-10T14:44:49Z,(GMT-05:00) America/New_York,38.0,12.0,0.0,0.0,81.6,0.0,52.983333333333334,0.0,53.03333333333333,52.983333333333334,53.03333333333333,10:35
